dataset,bootstrap,n_system_draws,n_unique_systems_drawn,alpha,feature,shapley_mse_utility
brspeech,33,6,4,10.0,whisper,-0.30131105935031377
brspeech,34,6,4,10.0,auditory_erb,0.15024536470586614
brspeech,34,6,4,10.0,beats,0.048035815753140615
brspeech,34,6,4,10.0,ced,0.21590645361269425
brspeech,34,6,4,10.0,contentvec12,0.10836380200362142
brspeech,34,6,4,10.0,egemaps,0.4852557196284228
brspeech,34,6,4,10.0,rmvpe_cont,0.1016619288105042
brspeech,34,6,4,10.0,rmvpe_quant,-1.0227817269722606
brspeech,34,6,4,10.0,speaker,0.20022635144857376
brspeech,34,6,4,10.0,wavlm,0.19062736190058618
brspeech,34,6,4,10.0,whisper,-0.006166404168068052
brspeech,35,6,4,10.0,auditory_erb,0.1269139298321723
brspeech,35,6,4,10.0,beats,-0.12311818343471616
brspeech,35,6,4,10.0,ced,0.16602276331187
brspeech,35,6,4,10.0,contentvec12,-0.00378435494245506
brspeech,35,6,4,10.0,egemaps,0.42528194623993343
brspeech,35,6,4,10.0,rmvpe_cont,0.08113809575756906
brspeech,35,6,4,10.0,rmvpe_quant,-0.6788898238009695
brspeech,35,6,4,10.0,speaker,0.20179624531234583
brspeech,35,6,4,10.0,wavlm,0.1266457276692035
brspeech,35,6,4,10.0,whisper,-0.1578256707249407
brspeech,36,6,4,10.0,auditory_erb,0.055710291279377065
brspeech,36,6,4,10.0,beats,-0.04152767750879798
brspeech,36,6,4,10.0,ced,0.02839205989028657
brspeech,36,6,4,10.0,contentvec12,-0.11243712972174622
brspeech,36,6,4,10.0,egemaps,0.3515258809936727
brspeech,36,6,4,10.0,rmvpe_cont,0.11038550927036048
brspeech,36,6,4,10.0,rmvpe_quant,0.07236612684409398
brspeech,36,6,4,10.0,speaker,0.15002182507887285
brspeech,36,6,4,10.0,wavlm,-0.05869047023502623
brspeech,36,6,4,10.0,whisper,-0.1388232689995619
brspeech,37,6,5,10.0,auditory_erb,0.06105665344840225
brspeech,37,6,5,10.0,beats,0.04659657083340946
brspeech,37,6,5,10.0,ced,0.15121406531989026
brspeech,37,6,5,10.0,contentvec12,0.06929674954676109
brspeech,37,6,5,10.0,egemaps,0.1767661016948652
brspeech,37,6,5,10.0,rmvpe_cont,0.0027284528937031095
brspeech,37,6,5,10.0,rmvpe_quant,0.003599469080431891
brspeech,37,6,5,10.0,speaker,0.12824956199559334
brspeech,37,6,5,10.0,wavlm,0.11447374867834358
