dataset,method,k,feature,selected_outer_folds,n_outer_folds,selection_frequency
tmhintqi,inner_search,3,ced,1,5,0.2
tmhintqi,inner_search,3,egemaps,0,5,0.0
tmhintqi,inner_search,5,whisper,5,5,1.0
tmhintqi,inner_search,5,contentvec12,4,5,0.8
tmhintqi,inner_search,5,wavlm,5,5,1.0
tmhintqi,inner_search,5,beats,5,5,1.0
tmhintqi,inner_search,5,auditory_erb,0,5,0.0
tmhintqi,inner_search,5,speaker,3,5,0.6
tmhintqi,inner_search,5,rmvpe_cont,0,5,0.0
tmhintqi,inner_search,5,rmvpe_quant,0,5,0.0
tmhintqi,inner_search,5,ced,3,5,0.6
tmhintqi,inner_search,5,egemaps,0,5,0.0
tmhintqi,shapley,1,whisper,0,5,0.0
tmhintqi,shapley,1,contentvec12,0,5,0.0
