dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc
tmhintqi,inner_search,9,98,11644,0.9003617534560473,0.8965637700093181,0.9659257181341854
tmhintqi,inner_search,10,98,11644,0.900363626006761,0.8965654706249704,0.9659257181341854
tmhintqi,shapley,1,98,11644,0.9873127417769059,0.9764789055331277,0.9451859597047676
tmhintqi,shapley,2,98,11644,0.91743519315053,0.9266605516328917,0.9587595673580817
tmhintqi,shapley,3,98,11644,0.9159327018692124,0.913043085160417,0.9585300465147188
tmhintqi,shapley,4,98,11644,0.9028755254153379,0.9010171234452721,0.9618325964275497
tmhintqi,shapley,5,98,11644,0.9012432222916058,0.8979279559256843,0.96371976780631
tmhintqi,shapley,6,98,11644,0.9000016244582778,0.8964147548157706,0.9657727042386102
tmhintqi,shapley,7,98,11644,0.9003626529207106,0.8965648203394081,0.9659257181341854
tmhintqi,shapley,8,98,11644,0.9003633736747085,0.8965653383722825,0.9659257181341854
tmhintqi,shapley,9,98,11644,0.900362980699799,0.896564841280916,0.9659257181341854
tmhintqi,shapley,10,98,11644,0.900363626006761,0.8965654706249704,0.9659257181341854
tmhintqi,singleton,1,98,11644,0.9873127417769059,0.9764789055331277,0.9451859597047676
tmhintqi,singleton,2,98,11644,0.9166210276471755,0.9256785439701516,0.9520715850056503
tmhintqi,singleton,3,98,11644,0.9187224737135596,0.9159802370916781,0.953282945012287
tmhintqi,singleton,4,98,11644,0.9028755254153379,0.9010171234452721,0.9618325964275497
tmhintqi,singleton,5,98,11644,0.9015112856480871,0.8990735360555269,0.960665865473789
tmhintqi,singleton,6,98,11644,0.9001834043997805,0.8976233701053167,0.963464744647018
tmhintqi,singleton,7,98,11644,0.9003626529207106,0.8965648203394081,0.9659257181341854
tmhintqi,singleton,8,98,11644,0.9003633736747085,0.8965653383722825,0.9659257181341854
tmhintqi,singleton,9,98,11644,0.900362980699799,0.896564841280916,0.9659257181341854
tmhintqi,singleton,10,98,11644,0.900363626006761,0.8965654706249704,0.9659257181341854
