dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc,feature
BVCC,gate,2,175,4974,0.2851045143400066,0.2820096976862077,0.9267580798236028,
BVCC,gate,3,175,4974,0.2615198690307461,0.2595036702157523,0.9391808642582252,
BVCC,gate,4,175,4974,0.2521795620555744,0.2497451562921721,0.9404728517525972,
BVCC,gate,5,175,4974,0.2505195223878766,0.2477081430993883,0.9379235835336324,
BVCC,gate,6,175,4974,0.2496942236412947,0.2468690998659097,0.9388181225353684,
BVCC,gate,7,175,4974,0.2496942151083386,0.2468690843163803,0.9388181225353684,
BVCC,gate,8,175,4974,0.2496942160113794,0.246869089091559,0.9388181225353684,
BVCC,gate,9,175,4974,0.2496942112991671,0.246869087557652,0.9388181225353684,
BVCC,gate,10,175,4974,0.2496942189455231,0.2468690963941595,0.9388181225353684,
BVCC,inner_search,1,175,4974,0.3395465481855425,0.3337844766854996,0.918004136826639,
BVCC,inner_search,2,175,4974,0.2809729019711018,0.2777508878881096,0.9305131283991004,
BVCC,inner_search,3,175,4974,0.26042924286562,0.2585386227523751,0.9390946571203856,
BVCC,inner_search,4,175,4974,0.2521795620555744,0.2497451562921721,0.9404728517525972,
BVCC,inner_search,5,175,4974,0.2505195223878766,0.2477081430993883,0.9379235835336324,
BVCC,inner_search,6,175,4974,0.2496942236412947,0.2468690998659097,0.9388181225353684,
BVCC,inner_search,7,175,4974,0.2496942220582875,0.2468690954165555,0.9388181225353684,
BVCC,inner_search,8,175,4974,0.2496942160131559,0.2468690890819487,0.9388181225353684,
BVCC,inner_search,9,175,4974,0.2496942198726453,0.2468690958421024,0.9388181225353684,
BVCC,inner_search,10,175,4974,0.2496942189455231,0.2468690963941595,0.9388181225353684,
BVCC,shapley,1,175,4974,0.3395465481855425,0.3337844766854996,0.918004136826639,
BVCC,shapley,2,175,4974,0.295733213992347,0.2918402041961578,0.9299029609949128,
BVCC,shapley,3,175,4974,0.2647495115264247,0.2621024981700097,0.935832220761113,
BVCC,shapley,4,175,4974,0.2540274207132348,0.2513818046219649,0.9397037049513548,
BVCC,shapley,5,175,4974,0.2505195223878766,0.2477081430993883,0.9379235835336324,
BVCC,shapley,6,175,4974,0.2496942236412947,0.2468690998659097,0.9388181225353684,
BVCC,shapley,7,175,4974,0.249694219855912,0.2468690925186625,0.9388181225353684,
BVCC,shapley,8,175,4974,0.2496942168406367,0.2468690897195916,0.9388181225353684,
BVCC,shapley,9,175,4974,0.2496942113967935,0.2468690876466507,0.9388181225353684,
BVCC,shapley,10,175,4974,0.2496942189455231,0.2468690963941595,0.9388181225353684,
BVCC,singleton,1,175,4974,0.3395465481855425,0.3337844766854996,0.918004136826639,
BVCC,singleton,2,175,4974,0.2901865777837308,0.2864481889154153,0.934119273736512,
BVCC,singleton,3,175,4974,0.2693009825051093,0.2654248083951299,0.9347507130318552,
BVCC,singleton,4,175,4974,0.257765702443402,0.2548949330870676,0.9376716795594264,
BVCC,singleton,5,175,4974,0.2501923776013959,0.2474131287956174,0.9377310169400168,
BVCC,singleton,6,175,4974,0.2496942236412947,0.2468690998659097,0.9388181225353684,
BVCC,singleton,7,175,4974,0.249694219855912,0.2468690925186625,0.9388181225353684,
BVCC,singleton,8,175,4974,0.2496942168406367,0.2468690897195916,0.9388181225353684,
BVCC,singleton,9,175,4974,0.2496942113967935,0.2468690876466507,0.9388181225353684,
BVCC,singleton,10,175,4974,0.2496942189455231,0.2468690963941595,0.9388181225353684,
SingMOS,gate,1,31,2000,0.4754980012793663,0.4778721169420685,0.7294354838709678,
SingMOS,gate,2,31,2000,0.4166116290830157,0.4178634416930594,0.8508064516129032,
SingMOS,gate,3,31,2000,0.3868371168229983,0.3876510940142759,0.8512096774193548,
